品目名,読み仮名,分別区分,廃棄方法,注意事項,持込が必要な品目か（TRUE/FALSE）,充電池か（TRUE/FALSE）,携帯電話・タブレットPCか（TRUE/FALSE）,その他の電子機器か（TRUE/FALSE）
IHクッキングヒーター・IH調理器,あいえいちくっきんぐひーたー・あいえいちちょうりき,不燃ごみまたは粗大ごみ,,,0,0,0,0
ICレコーダー,あいしーれこーだー,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
アイスノン（保冷剤）,あいすのん（ほれいざい）,可燃ごみ,,,0,0,0,0
アイスピック,あいすぴっく,不燃ごみ,紙で包み｢危険｣と書いて不燃ごみ指定袋へ,,0,0,0,0
アイス枕,あいすまくら,可燃ごみ,,,0,0,0,0
アイロン,あいろん,不燃ごみ,,,0,0,0,0
アイロンプリントの紙,あいろんぷりんとのかみ,可燃ごみ,,,0,0,0,0
アイロン台,あいろんだい,粗大ごみ,,,0,0,0,0
赤ちゃんパイプいす,あかちゃんぱいぷいす,粗大ごみ,,,0,0,0,0
空き缶（飲食用）,あきかん（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,水ですすぐ,0,0,0,0
空き缶（飲食用以外のもの）,あきかん（いんしょくよういがいのもの）,不燃ごみ,,,0,0,0,0
空き缶のフタ（金属製）（飲食用以外）,あきかんのふた（きんぞくせい）（いんしょくよういがい）,不燃ごみ,,,0,0,0,0
空き缶のフタ（プラスチック製）,あきかんのふた（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
空き缶のフタ（金属製）（飲食用）,あきかんのふた（きんぞくせい）（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
空きびん（飲食用以外）,あきびん（いんしょくよういがい）,不燃ごみ,,,0,0,0,0
空きびん（有毒性の薬品が入っていたもの）,あきびん（ゆうどくせいのやくひんがはいっていたもの）,排出禁止物等,購入店・回収協力店等へ相談してください。,,1,0,0,0
空きびん（飲食用）,あきびん（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
空きびんのフタ（プラスチック製）,あきびんのふた（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
空きびんのフタ（金属製）（飲食用）,あきびんのふた（きんぞくせい）（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
空きびんのフタ（金属製）（飲食用以外）,あきびんのふた（きんぞくせい）（いんしょくよういがい）,不燃ごみ,,,0,0,0,0
アクセサリー（指輪、ネックレスなど）（金属製）,あくせさりー（ゆびわ、ねっくれすなど）（きんぞくせい）,不燃ごみ,,,0,0,0,0
アクセサリー（指輪、ネックレスなど）のケース・容器（プラスチック製）,あくせさりー（ゆびわ、ねっくれすなど）のけーす・ようき（ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
アクセサリー（指輪、ネックレスなど）のケース・容器（紙製・木製）,あくせさりー（ゆびわ、ねっくれすなど）のけーす・ようき（かみせい・もくせい）,可燃ごみ,,,0,0,0,0
アクリルタワシ,あくりるたわし,可燃ごみ,,,0,0,0,0
アコーディオン,あこーでぃおん,粗大ごみ,,,0,0,0,0
アコーディオンカーテン,あこーでぃおんかーてん,粗大ごみ,,,0,0,0,0
アシスト付自転車（電動自転車）,あしすとつじてんしゃ（でんどうじてんしゃ）,粗大ごみ,,バッテリーは除く,0,0,0,0
足ふきマット,あしふきまっと,可燃ごみ,,,0,0,0,0
アタッシュケース（硬いプラスチック製、金属製）,あたっしゅけーす（かたいぷらすちっくせい、きんぞくせい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
アタッシュケース（柔らかいプラスチック製）,あたっしゅけーす（やわらかいぷらすちっくせい）,可燃ごみ,,,0,0,0,0
厚紙,あつがみ,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
圧着はがき（はがして読むもの。親展はがきなど）,あっちゃくはがき（はがしてよむもの。しんてんはがきなど）,可燃ごみ,,,0,0,0,0
圧力鍋,あつりょくなべ,不燃ごみ,,,0,0,0,0
アノラック（ウインドブレーカー）,あのらっく（ういんどぶれーかー）,可燃ごみ,,,0,0,0,0
油（自動車、バイク、機械用）,あぶら（じどうしゃ、ばいく、きかいよう）,排出禁止物等,,少量ずつボロ布などに含ませれば「可燃ごみ」で可,1,0,0,0
油（食用植物性、天ぷら油等）,あぶら（しょくようしょくぶつせい、てんぷらあぶらなど）,回収場所へ,回収場所はこちらでご確認ください。,少量ずつボロ布などに含ませれば「可燃ごみ」で可,1,0,0,0
油（食用動物性、ラード等）,あぶら（しょくようどうぶつせい、らーどなど）,排出禁止物等,,少量ずつボロ布などに含ませれば「可燃ごみ」で可,1,0,0,0
油かす,あぶらかす,可燃ごみ,,,0,0,0,0
油紙・油とり紙,あぶらがみ・あぶらとりかみ,可燃ごみ,,,0,0,0,0
油缶,あぶらかん,不燃ごみ,,,0,0,0,0
油こし紙,あぶらこしがみ,可燃ごみ,,,0,0,0,0
油こし器（金属製）,あぶらこしき（きんぞくせい）,不燃ごみ,,,0,0,0,0
油刺し,あぶらさし,不燃ごみ,,,0,0,0,0
油びん,あぶらびん,不燃ごみ,,,0,0,0,0
油よけ（コンロの周りに使用する、金属製のもので硬いもの）,あぶらよけ（こんろのまわりにしようする、きんぞくせいのものでかたいもの）,不燃ごみまたは粗大ごみ,不燃ごみの指定袋に入る大きさに切断すれば「不燃ごみ」,,0,0,0,0
雨ガッパ,あまがっぱ,可燃ごみ,,,0,0,0,0
雨戸,あまど,粗大ごみ,,,0,0,0,0
雨どい（プラ製）,あまどい（ぷらせい）,粗大ごみ,,,0,0,0,0
網（金属製）,あみ（きんぞくせい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
網（昆虫採集用などで長い柄（木製）のついたもの）,あみ（こんちゅうさいしゅうようなどでながいえ（もくせい）のついたもの）,可燃ごみまたは粗大ごみ,可燃ごみの指定袋に入る大きさに切断すれば「可燃ごみ」,,0,0,0,0
網（昆虫採集用などで長い柄（木製以外）のついたもの）,あみ（こんちゅうさいしゅうようなどでながいえ（もくせいいがい）のついたもの）,不燃ごみまたは粗大ごみ,不燃ごみの指定袋に入る大きさに切断すれば「不燃ごみ」,,0,0,0,0
網（昆虫採集用などの網の部分）,あみ（こんちゅうさいしゅうようなどのあみのぶぶん）,可燃ごみ,,,0,0,0,0
網入りガラス,あみいりがらす,粗大ごみ,,,0,0,0,0
編み機,あみき,粗大ごみ,,,0,0,0,0
網戸,あみど,粗大ごみ,,,0,0,0,0
網戸の網部分,あみどのあみぶぶん,可燃ごみ,,,0,0,0,0
編み針（木製）,あみばり（もくせい）,可燃ごみ,,,0,0,0,0
編み針（木製以外）,あみばり（もくせいいがい）,不燃ごみ,,,0,0,0,0
アルカリ電池,あるかりでんち,有害ごみ,,,0,0,0,0
アルバム,あるばむ,可燃ごみ,,,0,0,0,0
アルミガード（天ぷらガード）,あるみがーど（てんぷらがーど）,可燃ごみ,,,0,0,0,0
アルミ加工紙,あるみかこうし,可燃ごみ,,,0,0,0,0
アルミ缶（飲食用）,あるみかん（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,水ですすぐ,0,0,0,0
アルミ缶（飲食用以外）,あるみかん（いんしょくもちいがい）,不燃ごみ,,,0,0,0,0
アルミコーディングのプラ袋,あるみこーでぃんぐのぷらふくろ,可燃ごみ,,,0,0,0,0
アルミサッシ,あるみさっし,粗大ごみ,,,0,0,0,0
アルミ製のコップ・皿,あるみせいのこっぷ・さら,不燃ごみ,,,0,0,0,0
アルミトレイ,あるみとれい,不燃ごみ,,,0,0,0,0
アルミパイプ洋服かけ,あるみぱいぷようふくかけ,粗大ごみ,,,0,0,0,0
アルミ箔（アルミホイル）の芯,あるみはく（あるみほいる）のしん,可燃ごみ,,,0,0,0,0
アルミ箔（台所用）,あるみはく（だいどころよう）,可燃ごみ,,,0,0,0,0
アルミ箔の皿・器など（手で曲げられるもの）,あるみはくのさら・うつわなど（てでまげられるもの）,可燃ごみ,http://www.city.chiba.jp/kankyo/junkan/haikibutsu/haisyokuyu.html／http://www.city.chiba.jp/kankyo/junkan/haikibutsu/haisyokuyu.html,,1,0,0,0
アルミホイール（自動車部品）,あるみほいーる（じどうしゃぶひん）,排出禁止物等,,,1,0,0,0
アルミホイル（台所用）,あるみほいる（だいどころよう）,可燃ごみ,,,0,0,0,0
泡だて器,あわだてき,不燃ごみ,,,0,0,0,0
あんか,あんか,不燃ごみ,,,0,0,0,0
安全ピン,あんぜんぴん,不燃ごみ,,,0,0,0,0
安全靴,あんぜんくつ,可燃ごみ,,,0,0,0,0
アンテナ,あんてな,粗大ごみ,,小型のもので不燃ごみの指定袋に入れば「不燃ごみ」,0,0,0,0
アンプ（楽器用）,あんぷ（がっきよう）,粗大ごみ,,小型のもので不燃ごみの指定袋に入れば「不燃ごみ」,0,0,0,0
アンプ（車載用）,あんぷ（しゃさいよう）,小型家電、不燃ごみまたは粗大ごみ,各区役所などの使用済小型家電回収ボックスへ。回収ボックス・不燃ごみ袋に入らないものは粗大ごみ,,1,0,0,1
いこう（衣桁）・えもんかけ,いこう（いこう）・えもんかけ,粗大ごみ,,,0,0,0,0
イコライザー,いこらいざー,不燃ごみまたは粗大ごみ,,,0,0,0,0
石（自然石、漬物石、庭石）,いし（しぜんいし、つけものいし、にわいし）,排出禁止物等,,,1,0,0,0
石臼,いしうす,排出禁止物等,,,1,0,0,0
衣装ケース（プラ製）,いしょうけーす（ぷらせい）,粗大ごみ,,,0,0,0,0
衣装箱・茶箱,いしょうばこ・ちゃばこ,粗大ごみ,,,0,0,0,0
移植ゴテ,いしょくごて,不燃ごみ,,,0,0,0,0
移植ベラ（プラスチック製・金属製）,いしょくべら（ぷらすちっくせい・きんぞくせい）,不燃ごみ,,,0,0,0,0
椅子（いす）,いす（いす）,粗大ごみ,,,0,0,0,0
板（木製）（厚さ10cm以内、長さは可燃ごみ指定袋に入る大きさまで）,いた（もくせい）（あつさ10せんちいない、ながさはかねんごみしていぶくろにはいるおおきさまで）,可燃ごみ,,,0,0,0,0
板（木製）（厚さ10cm超～15cm以内、長さは不燃ごみ指定袋に入る大きさまで）,いた（もくせい）（あつさ10せんちこ～15せんちいない、ながさはふねんごみしていふくろにはいるおおきさまで）,不燃ごみ,,,0,0,0,0
板（木製）（厚さ15cm以内、長さ150cm以内）,いた（もくせい）（あつさ15せんちいない、ながさ150せんちいない）,粗大ごみ,太さや長さがこれを超える場合は、千葉市廃棄物リサイクル事業協同組合（電話043-204-5805）へご相談ください。,,0,0,0,0
板ガラス,いたがらす,不燃ごみまたは粗大ごみ,紙で包み｢危険｣と書いて不燃ごみ指定袋へ（指定袋に入る場合）,,0,0,0,0
一輪車,いちりんしゃ,粗大ごみ,,,0,0,0,0
一升びん,いっしょうびん,資源物,購入店へ返却または（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,1,0,0,0
一升びんのフタ（プラ製）,いっしょうびんのふた（ぷらせい）,可燃ごみ,,,0,0,0,0
一升びんのフタ（金属製）,いっしょうびんのふた（きんぞくせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
一升びんのフタ（上が金属、下がプラスチック製）,いっしょうびんのふた（あがきんぞく、さがぷらすちっくせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
イーティーシー（ETC）車載ユニット,いーてぃーしー（いーてぃーしー）しゃさいゆにっと,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ,,1,0,0,1
一斗缶,いっとかん,不燃ごみ,不燃ごみ指定袋（20ℓ）をそれぞれひとつの品目に対して1枚ずつ縛りつけるか、テープなどで貼りつけて排出してください。,,0,0,0,0
一斗樽（木製）,いっとだる（もくせい）,可燃ごみ,,,0,0,0,0
一斗樽（木製以外）,いっとだる（もくせいいがい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
糸・毛糸,いと・けいと,可燃ごみ,,,0,0,0,0
井戸ポンプ（家庭用）,いどぽんぷ（かていよう）,粗大ごみ,,,0,0,0,0
イヌ・ネコのふん,いぬ・ねこのふん,可燃ごみ,,,0,0,0,0
犬小屋・犬用ケージ（柵）,いぬごや・いぬようけーじ（さく）,粗大ごみ,,,0,0,0,0
犬の死体,いぬのしたい,環境事業所へ申込,,,0,0,0,0
犬のトイレ,いぬのといれ,不燃ごみまたは粗大ごみ,,,0,0,0,0
犬のトイレシート・砂,いぬのといれしーと・すな,可燃ごみ,,,0,0,0,0
医薬品（液体のもの）,いやくひん（えきたいのもの）,排出禁止物等,,少量ずつボロ布などに含ませれば「可燃ごみ」で可,1,0,0,0
医薬品（固形のもの）,いやくひん（こけいのもの）,可燃ごみ,,,0,0,0,0
イヤホン・ヘッドホン,いやほん・へっどほん,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
衣料品の外袋（プラスチック製）,いりょうひんのそとぶくろ（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
衣料品の留め具（購入した際の型崩れ防止用の留め具）（金属製・プラスチック製）,いりょうひんのとめぐ（こうにゅうしたさいのかたくずれぼうしようのとめぐ）（きんぞくせい・ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
衣類乾燥機,いるいかんそうき,家電リサイクル対象,,,1,0,0,0
衣類乾燥機台,いるいかんそうきだい,粗大ごみ,,,0,0,0,0
入れ歯,いれば,不燃ごみ,,,0,0,0,0
色鉛筆,いろえんぴつ,可燃ごみ,,,0,0,0,0
色紙（いろがみ）,いろがみ（いろがみ）,資源物,（古紙・布類）の【古紙（雑がみ）】金紙、銀紙は「可燃ごみ」へ,,0,0,0,0
印鑑（木製）,いんかん（もくせい）,可燃ごみ,,,0,0,0,0
印鑑（木製以外）,いんかん（もくせいいがい）,不燃ごみ,,,0,0,0,0
インクカートリッジ（パソコンプリンター用）,いんくかーとりっじ（ぱそこんぷりんたーよう）,店頭回収協力店へ,電器店等の店頭回収にご協力ください。お近くに回収協力店がない場合は「不燃ごみ」へ,,1,0,0,0
インクジェット写真プリント用紙,いんくじぇっとしゃしんぷりんとようし,可燃ごみ,,,0,0,0,0
インクリボン,いんくりぼん,可燃ごみ,,,0,0,0,0
インスタントカメラ,いんすたんとかめら,不燃ごみ,,,0,0,0,0
インスタントコーヒーびんの内蓋,いんすたんとこーひーびんのうちぶた,可燃ごみ,,,0,0,0,0
インスタントコーヒー詰め替え用の袋,いんすたんとこーひーつめかえようのふくろ,可燃ごみ,,,0,0,0,0
インスタント食品のタレ・具の袋,いんすたんとしょくひんのたれ・ぐのふくろ,可燃ごみ,,,0,0,0,0
インスタント食品の容器・袋,いんすたんとしょくひんのようき・ふくろ,可燃ごみ,,,0,0,0,0
インターホン,いんたーほん,不燃ごみ,,,0,0,0,0
インラインスケート,いんらいんすけーと,不燃ごみ,,,0,0,0,0
飲料パック（紙製）（内側にコーティングのあるもの）,いんりょうぱっく（かみせい）（うちがわにこーてぃんぐのあるもの）,可燃ごみ,,,0,0,0,0
飲料パック（紙製）（内側にコーティングのないもの）,いんりょうぱっく（かみせい）（うちがわにこーてぃんぐのないもの）,資源物,（古紙・布類）の【古紙（紙パック）】水ですすいで乾かしてからひもで十文字に束ねる,,0,0,0,0
ウィッグ（付け毛）,うぃっぐ（つけげ）,可燃ごみ,,,0,0,0,0
ウインドウファン（送風機、換気扇）,ういんどうふぁん（そうふうき、かんきせん）,不燃ごみまたは粗大ごみ,,,0,0,0,0
ウィンドブレーカー,うぃんどぶれーかー,可燃ごみ,,,0,0,0,0
ウィンナーの包装袋（プラスチック製）,うぃんなーのほうそうふくろ（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
ウェイクボード,うぇいくぼーど,排出禁止物等,,,1,0,0,0
植木ばさみ,うえきばさみ,不燃ごみ,,,0,0,0,0
植木鉢,うえきばち,不燃ごみまたは粗大ごみ,,,0,0,0,0
植木鉢の土,うえきばちのつち,排出禁止物等,,,1,0,0,0
植木ポット（柔らかいプラスチック製）,うえきぽっと（やわらかいぷらすちっくせい）,可燃ごみ,,,0,0,0,0
ウエストポーチ,うえすとぽーち,可燃ごみ,,,0,0,0,0
ウエットティッシュ,うえっとてぃっしゅ,可燃ごみ,,,0,0,0,0
ウォーターベッド,うぉーたーべっど,粗大ごみ,,,0,0,0,0
ウォッシャー液容器（プラスチック製）,うぉっしゃーえきようき（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
ウォッシュレット便座,うぉっしゅれっとべんざ,粗大ごみ,,,0,0,0,0
うがい薬の容器（びん・プラスチック製）,うがいくすりのようき（びん・ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
浮き袋（ビニール製）,うきぶくろ（びにーるせい）,可燃ごみ,,,0,0,0,0
浮き輪,うきわ,可燃ごみ,,,0,0,0,0
うちわ,うちわ,可燃ごみ,,,0,0,0,0
ウッドカーペット,うっどかーぺっと,可燃ごみまたは粗大ごみ,,,0,0,0,0
ウッドクラフト,うっどくらふと,可燃ごみまたは粗大ごみ,,,0,0,0,0
ウッドパネル,うっどぱねる,可燃ごみまたは粗大ごみ,,,0,0,0,0
腕時計（ベルトが金属製）,うでどけい（べるとがきんぞくせい）,不燃ごみ,,,0,0,0,0
腕時計（ベルトが金属製以外）,うでどけい（べるとがきんぞくせいいがい）,不燃ごみ,,ベルト部分はなるべく切り離して可燃ごみ,0,0,0,0
乳母車,うばぐるま,粗大ごみ,,,0,0,0,0
羽毛ふとん,うもうふとん,粗大ごみ,可燃ごみの指定袋に入れば「可燃ごみ」,,0,0,0,0
ウレタン製品,うれたんせいひん,可燃ごみ,,,0,0,0,0
運動靴,うんどうぐつ,可燃ごみ,,,0,0,0,0
ACアダプタ,えーしーあだぷた,不燃ごみ,,,0,0,0,0
エアークッション、エアーパッキン（緩衝材）（プラスチック製）,えあーくっしょん、えあーぱっきん（かんしょうざい）（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
エアーマット,えあーまっと,可燃ごみまたは粗大ごみ,,,0,0,0,0
エアコン（クーラー）,えあこん（くーらー）,家電リサイクル対象,,,1,0,0,0
エアコン（室内機・室外機）,えあこん（しつないき・しつがいき）,家電リサイクル対象,,,1,0,0,0
エアゾール缶,えあぞーるかん,有害ごみ,,,0,0,0,0
エアゾール缶のフタ（プラ製）,えあぞーるかんのふた（ぷらせい）,可燃ごみ,,,0,0,0,0
映像・音響機器,えいぞう・おんきょうきき,不燃ごみまたは粗大ごみ,,,0,0,0,0
HDD（ハードディスク）,えいちでぃーでぃー（はーどでぃすく）,小型家電、不燃ごみまたは粗大ごみ,情報などを消去したうえで、各区役所などの使用済小型家電回収ボックスへ。回収ボックス・不燃ごみ袋に入らないものは粗大ごみ,,1,0,0,1
HDDレコーダー,えいちでぃーでぃーれこーだー,小型家電、不燃ごみまたは粗大ごみ,各区役所などの使用済小型家電回収ボックスへ（投入口に入るものに限る）回収ボックス・不燃ごみ袋に入らないものは粗大ごみ,,1,0,0,1
栄養ドリンクのびん,えいようどりんくのびん,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
液晶ディスプレイ一体型パソコン,えきしょうでぃすぷれいいったいがたぱそこん,排出禁止物等,家庭用パソコンリサイクルについて,,1,0,0,0
液晶テレビ,えきしょうてれび,家電リサイクル対象,,,1,0,0,0
枝（太さ10cm以内、長さ50cm以内）,えだ（ふとさ10せんちいない、ながさ50せんちいない）,資源物,（木の枝・刈り草・葉）・可燃ごみで出す場合は、ひもで束ねて、1回に出す量は片手で持てる量で3束程度排出可。・資源物（木の枝・刈草・葉）の収集日は、片手で持てる量でひもで束ねる。指定袋に入れなくても可。何束でも排出可。（ごみステーションからあふれる場合など多量になるときは、分けて排出してください。）,,0,0,0,0
枝（太さ10cm以内、長さ50cm以内）,えだ（ふとさ10せんちいない、ながさ50せんちいない）,可燃ごみ,・可燃ごみで出す場合は、ひもで束ねて、1回に出す量は片手で持てる量で3束程度排出可。・資源物（木の枝・刈草・葉）の収集日は、片手で持てる量でひもで束ねる。指定袋に入れなくても可。何束でも排出可。（ごみステーションからあふれる場合など多量になるときは、分けて排出してください。）,,0,0,0,0
枝（太さ15cm以内、長さ100cm超～150cm以内）,えだ（ふとさ15せんちいない、ながさ100せんちちょう～150せんちいない）,粗大ごみ,・太さ20cm以内、長さ100cm以内であれば、資源物（木の枝・刈り草・葉）の収集日に排出可。・太さ15cm超又は長さ150cm超の場合は、千葉市廃棄物リサイクル事業協同組合（電話043-204-5805）へご相談ください。,,0,0,0,0
枝（太さ20cm以内、長さ100cm以内）,えだ（ふとさ20せんちいない、ながさ100せんちいない）,資源物,（木の枝・刈り草・葉）・ひもで片手で持てる重さまでに束ねる。指定袋に入れなくても可。何束でも排出可。（ごみステーションからあふれる場合など多量になるときは、分けて排出してください。）・太さや長さがこれを超える場合は、千葉市廃棄物リサイクル事業協同組合（電話043-204-5805）へご相談ください。,,0,0,0,0
枝切りバサミ,えだきりばさみ,不燃ごみまたは粗大ごみ,,,0,0,0,0
絵の具,えのぐ,可燃ごみ,,,0,0,0,0
絵の具チューブ,えのぐちゅーぶ,可燃ごみ,,,0,0,0,0
絵筆,えふで,可燃ごみ,,,0,0,0,0
MD（ケースを含む）,えむでぃー（けーすをふくむ）,不燃ごみ,,,0,0,0,0
MDレコーダー,えむでぃーれこーだー,不燃ごみまたは粗大ごみ,,,0,0,0,0
MOディスク・ケース,えむおーでぃすく・けーす,不燃ごみ,,,0,0,0,0
LEDライト,えるいーでぃーらいと,不燃ごみ,,,0,0,0,0
LD・LDのケース,えるでぃー・えるでぃーのけーす,不燃ごみ,,,0,0,0,0
LDプレーヤー,えるでぃーぷれーやー,粗大ごみ,,,0,0,0,0
LPガスボンベ,えるぴーがすぼんべ,排出禁止物等,購入店または（一社）千葉県LPガス協会,,1,0,0,0
エレキギター,えれきぎたー,粗大ごみ,,,0,0,0,0
エレクトーン（電子オルガン）,えれくとーん（でんしおるがん）,粗大ごみ,サイドフレーム・ペダル鍵盤などがないもの又は外してあるもの、長さが1.5m以下または1.5m以下に切断してあるものであること。長さが1.5mを超えるものは、購入店、メーカーなどに相談（又は千葉市が許可した下記処理業者）,,0,0,0,0
絵を描いた画用紙,えをかいたがようし,可燃ごみ,,,0,0,0,0
園芸用の支柱,えんげいようのしちゅう,不燃ごみまたは粗大ごみ,不燃ごみの指定袋に入る大きさに切断すれば「不燃ごみ」,,0,0,0,0
園芸用の土,えんげいようのつち,排出禁止物等,,,1,0,0,0
園芸用の農薬,えんげいようののうやく,排出禁止物等,,,1,0,0,0
エンジンオイル（中身）,えんじんおいる（なかみ）,排出禁止物等,,,1,0,0,0
エンジンオイルの缶,えんじんおいるのかん,不燃ごみ,,,0,0,0,0
縁石,えんせき,排出禁止物等,,,1,0,0,0
縁台,えんだい,粗大ごみ,,,0,0,0,0
延長コード・テーブルタップ,えんちょうこーど・てーぶるたっぷ,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ,,1,0,0,1
塩ビ管,えんびかん,不燃ごみまたは粗大ごみ,,,0,0,0,0
鉛筆・鉛筆の芯,えんぴつ・えんぴつのしん,可燃ごみ,,,0,0,0,0
鉛筆削り（手動・電動）,えんぴつけずり（しゅどう・でんどう）,不燃ごみ,,,0,0,0,0
オイル（食用・自動車用・バイク用など）,おいる（しょくよう・じどうしゃよう・ばいくようなど）,排出禁止物等,,少量ずつボロ布などに含ませれば「可燃ごみ」で可,1,0,0,0
オイルヒーター,おいるひーたー,粗大ごみ,,,0,0,0,0
オイル缶（食用）,おいるかん（しょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,水ですすぐ,0,0,0,0
オイル缶（食用以外）,おいるかん（しょくよういがい）,不燃ごみ,,,0,0,0,0
オイル容器（プラスチック製）,おいるようき（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
王冠（金属製フタ）,おうかん（きんぞくせいふた）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】http://www.city.chiba.jp/kankyo/junkan/shushugyomu/syusyushinai.html／http://www.city.chiba.jp/kankyo/junkan/shushugyomu/syusyushinai.html,,1,0,0,0
応接用いす（コイルスプリング又はポケットコイルあり）,おうせつよういす（こいるすぷりんぐまたはぽけっとこいるあり）,排出禁止物等,購入店、メーカーなどに相談（又は千葉市が許可した下記処理業者）,,1,0,0,0
応接用いす（コイルスプリング又はポケットコイルなし）,おうせつよういす（こいるすぷりんぐまたはぽけっとこいるなし）,粗大ごみ,,コイルスプリング又はポケットコイルの有無は製造メーカーにお問い合わせいただくか、カッターなどで切り開いて確認してください。,0,0,0,0
オーディオセット,おーでぃおせっと,粗大ごみ,,,0,0,0,0
オーディオラック（オーディオボード）,おーでぃおらっく（おーでぃおぼーど）,粗大ごみ,,,0,0,0,0
オーディオ機器,おーでぃおきき,粗大ごみ,,,0,0,0,0
オートバイ・原動機付自転車,おーとばい・げんどうきつきじてんしゃ,排出禁止物等,二輪車リサイクルコールセンターTEL：050-3000-0727https://www.jarc.or.jp/motorcycle/,,1,0,0,0
オーバーコート,おーばーこーと,資源物,（古紙・布類）の【布類】,毛皮や綿の入ったものは可燃ごみまたは粗大ごみ,0,0,0,0
オーブントースター,おーぶんとーすたー,不燃ごみまたは粗大ごみ,,,0,0,0,0
オーブンレンジ,おーぶんれんじ,不燃ごみまたは粗大ごみ,,,0,0,0,0
桶・たらい（木製）,おけ・たらい（もくせい）,可燃ごみまたは粗大ごみ,,,0,0,0,0
桶・たらい（木製以外）,おけ・たらい（もくせいいがい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
押し入れ収納ラック,おしいれしゅうのうらっく,不燃ごみまたは粗大ごみ,,,0,0,0,0
押しピン　,おしぴん　,不燃ごみ,,,0,0,0,0
押しピンケース,おしぴんけーす,不燃ごみ,,,0,0,0,0
おしゃぶり,おしゃぶり,可燃ごみ,,,0,0,0,0
落ち葉・枯葉,おちば・かれは,資源物,（木の枝・刈り草・葉）・可燃・不燃ごみ旧指定袋を含む、透明・半透明袋で排出できます。何袋でも排出可。（ごみステーションからあふれる場合など多量になるときは、分けて排出してください。）・1回につき3袋程度までであれば、可燃ごみでも排出可,,0,0,0,0
落ち葉・枯葉,おちば・かれは,可燃ごみ,・可燃・不燃ごみ旧指定袋を含む、透明・半透明袋で排出できます。何袋でも排出可。（ごみステーションからあふれる場合など多量になるときは、分けて排出してください。）・1回につき3袋程度までであれば、可燃ごみでも排出可,,0,0,0,0
斧,おの,不燃ごみまたは粗大ごみ,紙で包み｢危険｣と書いて不燃ごみ指定袋へ（指定袋に入る場合）,,0,0,0,0
おはじき,おはじき,不燃ごみ,,,0,0,0,0
おひつ（御櫃）（木製）,おひつ（おひつ）（もくせい）,可燃ごみ,,,0,0,0,0
おひつ（木製以外）,おひつ（もくせいいがい）,不燃ごみ,,,0,0,0,0
汚物入れ,おぶついれ,不燃ごみ,,,0,0,0,0
お盆・トレー（木製）,おぼん・とれー（もくせい）,可燃ごみ,,,0,0,0,0
お盆・トレー（木製以外）,おぼん・とれー（もくせいいがい）,不燃ごみ,,,0,0,0,0
おまる（便器）,おまる（べんき）,粗大ごみ,,,0,0,0,0
おむつ（紙・布）,おむつ（かみ・ぬの）,可燃ごみ,汚物はトイレに流してから。小袋に入れてから指定袋に入れられます。,,0,0,0,0
おもちゃ（木製・布製など）,おもちゃ（きせい・ぬのせいなど）,可燃ごみ,,,0,0,0,0
